task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #148,2026-02-21T19:54:36,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27757787425071,1.6660051851830602e-07,6.001683288498568e-07,360.0,178.82419301331572,10.0,2.7754657436162428e-05,1.3787233250184272e-05,7.709100118113836e-07,4.231280069815803e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #149,2026-02-21T19:54:36,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27776347566396,1.6652100946529838e-07,5.9946736903898e-07,360.0,178.18727686730855,10.0,2.7773655578494302e-05,1.374751100158278e-05,7.714405992171821e-07,4.229260717929402e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #150,2026-02-21T19:54:37,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27900421619415283,1.6920367392700227e-07,6.064063434201536e-07,360.0,184.73598944002788,10.0,2.7887929417193258e-05,1.4311400335031976e-05,7.746141222823004e-07,4.297394387450717e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #151,2026-02-21T19:54:37,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2768084714189172,1.6913608149648552e-07,6.109998508410756e-07,360.0,189.05921475108772,10.0,2.7661228738725015e-05,1.4527233844319198e-05,7.683143278376875e-07,4.2956776910882226e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #152,2026-02-21T19:54:37,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27662176825106144,1.545957708098108e-07,5.588192159516035e-07,360.0,141.0667087023411,10.0,2.7657577767968393e-05,1.083806422741418e-05,7.682216301974337e-07,3.926386362558022e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #153,2026-02-21T19:54:37,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2780519612133503,1.6721617350698561e-07,6.013336901351672e-07,360.0,180.24231667383916,10.0,2.778543876484022e-05,1.3911955573320256e-05,7.717689395778739e-07,4.246916327773839e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #154,2026-02-21T19:54:38,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27763297501951456,1.665096313128024e-07,5.998103591452029e-07,360.0,178.58936068416548,10.0,2.775138830766067e-05,1.3767511013895728e-05,7.708180618161989e-07,4.2289717383372366e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #155,2026-02-21T19:54:38,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27858832012861967,1.6713679673504558e-07,5.999314213665896e-07,360.0,178.84112106863668,10.0,2.7843122743070534e-05,1.383251106545913e-05,7.733695467727002e-07,4.2449003355302106e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #156,2026-02-21T19:54:38,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2762139914557338,1.6958365299754607e-07,6.139826224797059e-07,360.0,191.47561650877364,10.0,2.7615064103156742e-05,1.468834508244754e-05,7.67040863219236e-07,4.3070450048823816e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #157,2026-02-21T19:54:39,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2774763321503997,1.5560955579976076e-07,5.60723021826698e-07,360.0,142.82929151492922,10.0,2.774324016645551e-05,1.1007508806670785e-05,7.705933362659508e-07,3.9521342309392464e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #158,2026-02-21T19:54:39,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27795747946947813,1.6673975540597774e-07,5.99805711823647e-07,360.0,178.61404691952578,10.0,2.7788523864000735e-05,1.3787788805785794e-05,7.718510796419386e-07,4.234816374942829e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #159,2026-02-21T19:54:39,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27737390995025635,1.6631053516753824e-07,5.995645849148859e-07,360.0,178.2382882861034,10.0,2.773599298670857e-05,1.3732788765707937e-05,7.703696688016268e-07,4.223915142121792e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #160,2026-02-21T19:54:39,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.28480030968785286,1.673146994308316e-07,5.875441052235309e-07,360.0,171.07761220350858,10.0,2.827275861054697e-05,1.343612186133214e-05,7.853061840352115e-07,4.2494186655914375e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #161,2026-02-21T19:54:40,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.25660690758377314,1.4306588389576314e-07,5.575947584551722e-07,360.0,138.32831071175667,10.0,2.5732715986668923e-05,9.888063463137087e-06,7.147511105156561e-07,3.633553056032156e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
