step_ms,forward_ms,backward_ms,optimizer_ms,gpu_mem_alloc_MB,gpu_mem_reserved_MB,gpu_mem_max_MB,proc_cpu_percent,sys_cpu_percent,ram_used_MB,ram_percent
239.009878,65.496942,116.295203,56.584281,5070.91455078125,7974.0,7309.55615234375,95.7,0.5,14321.8125,2.8
239.188281,65.660765,116.368104,56.524771,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14321.8125,2.8
239.553386,65.766817,116.11831,56.656893,5070.91455078125,7974.0,7309.55615234375,103.8,0.5,14321.8125,2.8
240.579362,66.324045,116.428785,56.780915,5070.91455078125,7974.0,7309.55615234375,99.2,0.5,14322.05859375,2.8
239.023218,65.97537,116.1105,56.302538,5070.91455078125,7974.0,7309.55615234375,99.9,0.6,14322.05859375,2.8
239.307432,65.98471,116.351504,56.355688,5070.91455078125,7974.0,7309.55615234375,95.6,0.5,14322.05859375,2.8
239.587157,66.310095,116.213452,56.43887,5070.91455078125,7974.0,7309.55615234375,103.8,0.5,14322.05859375,2.8
239.921302,66.481468,116.208402,56.606223,5070.91455078125,7974.0,7309.55615234375,99.5,0.6,14322.08984375,2.8
240.075514,66.394306,116.06929,56.976598,5070.91455078125,7974.0,7309.55615234375,99.4,0.6,14323.56640625,2.8
239.944323,66.727241,116.10982,56.482181,5070.91455078125,7974.0,7309.55615234375,99.5,0.5,14323.56640625,2.8
240.346938,66.803863,116.10174,56.782035,5070.91455078125,7974.0,7309.55615234375,99.3,0.6,14323.56640625,2.8
239.528326,66.171334,116.145121,56.575622,5070.91455078125,7974.0,7309.55615234375,99.7,0.5,14323.3203125,2.8
239.14441,65.764506,116.08928,56.667494,5070.91455078125,7974.0,7309.55615234375,104.0,0.5,14323.56640625,2.8
238.897496,65.915709,116.010329,56.361678,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14323.56640625,2.8
239.523296,66.137683,116.269083,56.488221,5070.91455078125,7974.0,7309.55615234375,99.7,0.5,14323.56640625,2.8
239.16414,66.017921,116.11272,56.398548,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14323.56640625,2.8
239.13684,65.789417,116.206072,56.510961,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14323.8125,2.8
239.030648,65.832848,116.058059,56.507791,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14323.8125,2.8
239.292742,65.826737,116.04597,56.729474,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14323.8125,2.8
239.404105,65.932149,116.397195,56.44156,5070.91455078125,7974.0,7309.55615234375,99.7,0.5,14323.8125,2.8
238.505439,65.437412,116.020759,56.431249,5070.91455078125,7974.0,7309.55615234375,100.1,0.5,14324.05859375,2.8
238.611282,65.535093,116.08594,56.364059,5070.91455078125,7974.0,7309.55615234375,100.0,0.5,14324.05859375,2.8
