timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,process_cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
11004552.95487586,78.9955661650747,51,0.5,99.6,100.0,13065.25,236.595,194697263972.0
11004553.456960551,79.49765085615218,52,0.5,99.6,100.0,13065.25,234.069,194697379786.0
11004553.96403511,80.0047254152596,52,0.5,104.5,99.0,13065.25,234.985,194697496098.0
11004554.467065852,80.50775615684688,52,0.5,99.4,99.0,13065.25,236.493,194697611789.0
11004554.969245272,81.0099355764687,53,0.5,99.6,100.0,13065.25,231.995,194697723803.0
11004555.471464176,81.5121544804424,53,0.6,101.6,100.0,13065.25,233.687,194697839112.0
11004555.973528033,82.01421833783388,53,0.5,99.6,99.0,13065.25,236.078,194697952085.0
11004556.475783529,82.51647383347154,54,0.5,101.5,100.0,13065.25,233.348,194698061815.0
11004556.978044547,83.01873485185206,54,0.5,99.5,100.0,13065.25,233.994,194698176538.0
11004557.483698633,83.52438893727958,54,0.5,100.9,99.0,13065.25,236.764,194698293002.0
11004557.986281049,84.02697135321796,55,0.5,99.5,100.0,13065.25,233.595,194698405087.0
11004558.48859894,84.52928924560547,55,0.5,101.5,100.0,13065.25,233.646,194698521959.0
11004558.990963636,85.03165394067764,55,0.5,99.5,99.0,13065.25,236.737,194698636298.0
11004559.493307468,85.5339977722615,56,0.5,101.5,98.0,13065.25,232.896,194698747656.0
11004559.9955463,86.03623660467565,56,0.5,101.5,100.0,13065.25,232.849,194698861164.0
11004560.50273305,86.5434233546257,56,0.6,100.6,100.0,13065.25,236.511,194698977572.0
11004561.0048166,87.0455069039017,57,0.5,99.6,100.0,13065.25,231.05,194699088184.0
11004561.507141113,87.54783141799271,57,0.5,101.5,99.0,13065.25,230.746,194699204046.0
11004562.009413777,88.0501040816307,57,0.5,101.6,99.0,13065.25,235.956,194699317954.0
11004562.511548376,88.5522386804223,58,0.5,99.5,97.0,13065.25,231.686,194699425369.0
11004563.013800388,89.05449069291353,58,0.5,101.5,100.0,13065.25,231.406,194699539767.0
11004563.52106789,89.56175819411874,58,0.6,100.6,100.0,13065.25,236.67,194699657444.0
11004564.024212493,90.06490279734135,59,0.5,99.3,100.0,13065.25,232.942,194699768427.0
11004564.526433237,90.56712354160845,59,0.5,101.6,99.0,13065.25,232.931,194699884986.0
11004565.028646097,91.06933640129864,59,0.6,101.6,100.0,13065.25,236.636,194700001371.0
11004565.530720536,91.57141084037721,60,0.6,99.6,98.0,13065.25,232.911,194700112125.0
11004566.033009589,92.07369989342988,60,0.5,99.5,99.0,13065.25,232.458,194700225084.0
11004566.540128708,92.5808190125972,60,0.5,102.5,100.0,13065.25,236.187,194700343417.0
11004567.043538457,93.08422876149416,61,0.5,99.3,99.0,13065.25,232.841,194700455901.0
11004567.545729855,93.58642015978694,61,0.5,101.6,99.0,13065.25,232.672,194700571354.0
11004568.047895256,94.08858556114137,61,0.5,99.6,100.0,13065.25,236.469,194700686020.0
11004568.549885448,94.59057575277984,62,0.5,101.6,98.0,13065.25,234.249,194700820018.0
11004569.052045768,95.0927360728383,62,0.5,99.6,99.0,13065.25,234.065,194700938361.0
11004569.55943006,95.60012036561966,62,0.5,102.5,100.0,13065.25,236.573,194701055823.0
11004570.062605774,96.10329607874155,63,0.5,101.3,98.0,13065.25,232.44,194701165990.0
11004570.564817855,96.60550815984607,63,0.5,99.6,100.0,13065.25,232.196,194701282000.0
11004571.066956447,97.10764675214887,63,0.5,101.6,100.0,13065.25,236.478,194701398381.0
11004571.569199868,97.60989017225802,64,0.5,99.6,99.0,13065.25,233.962,194701509844.0
11004572.07136249,98.11205279454589,64,0.6,101.5,99.0,13065.25,233.655,194701623586.0
11004572.57857877,98.61926907487214,64,0.5,100.5,100.0,13065.25,236.355,194701741677.0
11004573.08150558,99.12219588458538,65,0.5,99.4,98.0,13065.25,232.768,194701854415.0
11004573.58356014,99.62425044551492,65,0.5,101.5,99.0,13065.25,233.313,194701970231.0
11004574.085832393,100.12652269750834,65,0.5,99.6,99.0,13065.25,236.889,194702085041.0
11004574.588031825,100.62872212938964,66,0.5,101.6,98.0,13065.25,233.767,194702194710.0
11004575.090078695,101.13076899945736,66,0.6,99.6,99.0,13065.25,232.939,194702306542.0
11004575.597482268,101.63817257247865,66,0.5,100.5,100.0,13065.25,237.004,194702423777.0
11004576.100798901,102.14148920588195,67,0.5,103.3,98.0,13065.25,231.974,194702535312.0
11004576.602809623,102.64349992759526,67,0.5,99.6,99.0,13065.25,231.949,194702650364.0
11004577.105070414,103.14576071873307,67,0.5,99.6,99.0,13065.25,237.149,194702765180.0
11004577.607348226,103.64803853072226,68,0.5,101.5,98.0,13065.25,232.324,194702878784.0
11004578.1096982,104.15038850530982,68,0.5,101.5,100.0,13065.25,232.223,194702989350.0
11004578.61695312,104.65764342434704,68,0.5,100.5,100.0,13065.25,234.996,194703106630.0
11004579.119523516,105.16021382063627,69,0.5,99.5,99.0,13065.25,232.276,194703217639.0
11004579.62176898,105.66245928406715,69,0.5,101.6,99.0,13065.25,232.863,194703333795.0
11004580.124018392,106.16470869630575,69,0.5,99.6,99.0,13065.25,232.707,194703448563.0
11004580.626253644,106.66694394871593,70,0.5,99.5,98.0,13065.25,231.143,194703557218.0
11004581.13741526,107.17810556478798,70,0.5,103.7,99.0,13065.25,234.184,194703675628.0
11004581.639708104,107.68039840832353,70,0.5,99.5,99.0,13065.25,234.049,194703791291.0
11004582.142046805,108.18273711018264,71,0.5,101.5,99.0,13065.25,232.351,194703903257.0
11004582.64440675,108.68509705550969,71,0.5,99.6,100.0,13065.25,234.175,194704019080.0
11004583.146636171,109.1873264759779,71,0.5,101.5,99.0,13065.25,237.358,194704155953.0
11004583.648765223,109.68945552781224,72,0.5,101.6,99.0,13065.25,231.508,194704269782.0
11004584.155289004,110.19597930833697,72,0.5,100.7,99.0,13065.25,232.269,194704386694.0
11004584.65851226,110.6992025654763,72,0.5,101.3,99.0,13065.25,234.014,194704501661.0
11004585.160839722,111.20153002627194,73,0.6,97.6,98.0,13065.25,231.035,194704609951.0
11004585.663990144,111.704680448398,73,0.5,101.4,100.0,13065.25,234.018,194704726865.0
11004586.166092064,112.2067823689431,73,0.5,101.5,99.0,13065.25,233.939,194704840835.0
11004586.668370888,112.7090611923486,74,0.5,99.6,100.0,13065.25,231.716,194704951153.0
11004587.174295472,113.21498577669263,74,0.5,100.8,99.0,13065.25,233.465,194705067741.0
11004587.67693498,113.71762528456748,74,0.5,101.4,99.0,13065.25,233.208,194705183726.0
11004588.179145632,114.21983593702316,75,0.5,99.6,99.0,13065.25,232.282,194705296432.0
11004588.69534662,114.7360369246453,75,0.5,104.6,100.0,13065.25,234.185,194705412999.0
11004589.197471129,115.23816143348813,75,0.5,99.5,99.0,13065.25,233.687,194705528729.0
11004589.699699972,115.74039027653635,76,0.5,101.5,99.0,13065.25,234.6,194705643811.0
11004590.202230807,116.24292111210525,76,0.5,101.5,100.0,13065.25,233.697,194705756476.0
11004590.704317408,116.745007712394,76,0.5,97.6,100.0,13065.25,233.081,194705869159.0
11004591.206520887,117.24721119180322,76,0.5,101.6,100.0,13065.25,236.479,194705982941.0
11004591.713524256,117.75421456061304,77,0.5,102.6,100.0,13065.25,233.29,194706095252.0
11004592.215916673,118.25660697743297,77,0.6,101.5,99.0,13065.25,233.155,194706211027.0
11004592.718154171,118.75884447619319,77,0.5,97.6,99.0,13065.25,236.253,194706325558.0
11004593.221362889,119.26205319352448,78,0.5,101.3,100.0,13065.25,231.196,194706436949.0
11004593.72364178,119.76433208398521,78,0.5,101.5,100.0,13065.25,231.406,194706551098.0
11004594.225831252,120.2665215563029,78,0.5,99.6,99.0,13065.25,236.091,194706664573.0
11004594.732419655,120.77310995943844,79,0.5,102.6,100.0,13065.25,231.398,194706778024.0
11004595.234658135,121.27534843981266,79,0.6,99.6,99.0,13065.25,232.421,194706894743.0
11004595.736987447,121.77767775207758,79,0.5,101.5,99.0,13065.25,236.775,194707010453.0
11004596.2392363,122.27992660552263,80,0.5,99.6,100.0,13065.25,232.951,194707122572.0
11004596.741480224,122.78217052854598,80,0.5,101.6,100.0,13065.25,233.444,194707260459.0
11004597.243512625,123.28420292958617,80,0.5,99.6,99.0,13065.25,236.251,194707379167.0
11004597.750729123,123.7914194278419,81,0.6,100.6,100.0,13065.25,232.502,194707491045.0
11004598.252885023,124.29357532784343,81,0.5,101.6,100.0,13065.25,232.779,194707606523.0
11004598.754926275,124.79561658017337,81,0.5,99.6,99.0,13065.25,236.578,194707722128.0
11004599.257148797,125.29783910140395,82,0.5,101.6,100.0,13065.25,232.857,194707834116.0
11004599.759360667,125.80005097202957,82,0.5,99.6,99.0,13065.25,233.638,194707947617.0
11004600.261428557,126.30211886204779,82,0.5,101.6,99.0,13065.25,236.235,194708061187.0
11004600.76366037,126.80435067415237,83,0.5,99.6,100.0,13065.25,231.839,194708171234.0
11004601.26983818,127.31052848510444,83,0.5,100.8,100.0,13065.25,233.776,194708288763.0
11004601.772444235,127.81313453987241,83,0.5,101.4,99.0,13065.25,236.02,194708402465.0
11004602.274676949,128.31536725349724,84,0.5,99.6,100.0,13065.25,233.575,194708514778.0
11004602.77697453,128.81766483560205,84,0.5,101.6,100.0,13065.25,234.027,194708630814.0
11004603.27906684,129.31975714489818,84,0.5,99.6,99.0,13065.25,236.546,194708745174.0
11004603.781279922,129.82197022624314,85,0.5,101.5,100.0,13065.25,233.769,194708855278.0
11004604.288511291,130.32920159585774,85,0.5,100.5,100.0,13065.25,233.484,194708973750.0
11004604.790804176,130.83149448037148,85,0.5,101.5,99.0,13065.25,236.178,194709089380.0
11004605.293043058,131.33373336307704,86,0.6,99.6,99.0,13065.25,233.232,194709203005.0
11004605.79531555,131.8360058553517,86,0.5,99.5,100.0,13065.25,233.43,194709318240.0
11004606.297561241,132.33825154602528,86,0.5,101.6,100.0,13065.25,236.496,194709432988.0
11004606.799591422,132.84028172679245,87,0.5,99.6,100.0,13065.25,232.892,194709543321.0
11004607.301833354,133.34252365864813,87,0.5,101.5,99.0,13065.25,232.904,194709657252.0
11004607.807739308,133.84842961281538,87,0.5,100.8,99.0,13065.25,237.038,194709773731.0
11004608.310435956,134.35112626105547,88,0.5,99.4,98.0,13065.25,231.777,194709881923.0
11004608.812646868,134.85333717241883,88,0.5,101.6,100.0,13065.25,231.019,194709997325.0
11004609.31488044,135.35557074472308,88,0.5,101.6,100.0,13065.25,236.519,194710113213.0
11004609.816914031,135.85760433599353,89,0.8,99.6,100.0,13065.25,231.324,194710221166.0
11004610.319115503,136.35980580747128,89,0.6,101.6,99.0,13065.25,230.856,194710335206.0
11004610.825671855,136.86636216007173,89,0.5,100.7,100.0,13065.25,236.053,194710453087.0
11004611.328807028,137.36949733272195,90,0.5,99.4,98.0,13065.25,232.063,194710565129.0
11004611.830987968,137.87167827226222,90,0.5,101.6,99.0,13065.25,232.544,194710681395.0
