timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,process_cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
11419096.773571987,40.30933938361704,55,0.6,100.5,100.0,19349.25,233.939,144155464532.0
11419097.275668062,40.811435459181666,56,0.6,101.5,99.0,19349.25,233.218,144155580659.0
11419097.7779423,41.31370969675481,57,0.8,99.6,100.0,19349.25,235.37,144155697678.0
11419098.279982716,41.81575011275709,57,1.1,101.6,100.0,19349.25,234.661,144155809006.0
11419098.78198416,42.3177515566349,58,1.1,99.6,98.0,19349.25,231.184,144155941351.0
11419099.28603068,42.821798076853156,59,1.1,101.2,99.0,19349.25,228.989,144156057486.0
11419099.792614315,43.32838171161711,59,1.1,100.7,100.0,19349.25,230.261,144156172343.0
11419100.29583004,43.831597436219454,60,1.0,101.3,100.0,19349.25,233.068,144156286187.0
11419100.798124067,44.33389146439731,61,1.1,99.6,98.0,19349.25,232.968,144156399123.0
11419101.300179165,44.83594656176865,61,1.0,101.6,100.0,19349.25,234.955,144156513872.0
11419101.802267669,45.33803506568074,62,1.0,99.6,100.0,19349.25,234.578,144156623253.0
11419102.304273283,45.84004068002105,63,1.1,99.6,98.0,19349.25,229.656,144156735278.0
11419102.810568282,46.34633567929268,63,1.0,102.7,99.0,19349.25,233.201,144156853673.0
11419103.31387316,46.84964055754244,64,1.0,99.4,100.0,19349.25,233.174,144156964842.0
11419103.816151796,47.35191919282079,65,1.1,101.5,100.0,19349.25,231.187,144157078257.0
11419104.318239804,47.85400720126927,66,1.0,99.6,100.0,19349.25,230.018,144157191958.0
11419104.820261627,48.35602902434766,66,1.1,101.6,100.0,19349.25,235.08,144157305138.0
11419105.322286041,48.85805343836546,67,1.1,99.6,99.0,19349.25,231.524,144157418875.0
11419105.82451303,49.360280426219106,68,1.1,101.5,98.0,19349.25,229.255,144157526321.0
11419106.332219444,49.867986841127276,68,1.1,100.5,100.0,19349.25,231.743,144157642433.0
11419106.834236057,50.37000345438719,69,1.1,101.6,100.0,19349.25,229.316,144157754907.0
11419107.336457986,50.87222538329661,70,1.0,99.6,99.0,19349.25,230.688,144157868038.0
11419107.838595605,51.374363001435995,70,1.1,99.6,100.0,19349.25,233.184,144157984126.0
11419108.340668987,51.876436384394765,71,1.1,101.6,100.0,19349.25,232.01,144158092189.0
11419108.842782164,52.3785495609045,72,1.0,99.6,98.0,19349.25,230.541,144158203350.0
11419109.349611342,52.885378738865256,72,1.1,102.5,100.0,19349.25,232.762,144158320612.0
11419109.852582771,53.38835016824305,73,1.0,101.4,100.0,19349.25,233.771,144158431288.0
11419110.355211558,53.89097895473242,74,1.0,99.5,98.0,19349.25,229.989,144158545844.0
11419110.857933676,54.39370107278228,75,1.1,101.4,100.0,19349.25,234.283,144158661519.0
11419111.370743947,54.9065113440156,75,0.9,101.4,100.0,19349.25,234.238,144158772255.0
11419111.873611337,55.40937873348594,76,0.6,101.5,100.0,19349.25,230.805,144158885875.0
11419112.37614173,55.91190912760794,77,0.6,99.5,100.0,19349.25,231.286,144158999000.0
11419112.879177691,56.41494508832693,77,0.5,101.4,100.0,19349.25,234.531,144159138309.0
11419113.381099785,56.916867181658745,78,0.6,99.6,99.0,19349.25,231.88,144159249200.0
11419113.88889652,57.4246639162302,79,0.6,102.4,98.0,19349.25,229.638,144159363240.0
11419114.3912478,57.92701519653201,79,0.6,99.6,100.0,19349.25,232.343,144159479724.0
11419114.893233893,58.42900129035115,80,0.6,101.6,100.0,19349.25,234.044,144159589629.0
11419115.395526074,58.93129347078502,81,0.6,101.5,99.0,19349.25,230.78,144159703364.0
11419115.897543268,59.43331066519022,81,0.6,99.6,100.0,19349.25,234.446,144159818759.0
11419116.40005746,59.93582485616207,82,0.6,99.5,100.0,19349.25,233.168,144159927169.0
11419116.90689285,60.4426602460444,83,0.5,100.6,98.0,19349.25,228.381,144160043813.0
