batch_size,mode,mode_label,run,source_folder,summary_file,total_train_ms,total_train_sec,num_steps,steps_per_second,samples_per_second,mean_step_ms,std_step_ms,mean_forward_ms,std_forward_ms,mean_backward_ms,std_backward_ms,mean_optimizer_ms,std_optimizer_ms,final_loss,mean_loss,energy_consumed_kwh,emissions_kg,baseline_total_train_ms,baseline_steps_per_second,baseline_samples_per_second,time_overhead_pct_vs_baseline,sample_throughput_delta_pct_vs_baseline
8,baseline_time,Baseline timing,2,final_experiment_results\BatchSize8_4\baseline_time_n64_2,final_experiment_results\BatchSize8_4\baseline_time_n64_2\baseline_time_2_summary.json,300502.087414,300.502087414,776,2.5823447906067596,20.658758324854077,,,,,,,,,,,,,300502.087414,2.5823447906067596,20.658758324854077,0.0,0.0
8,baseline_time,Baseline timing,3,final_experiment_results\BatchSize8_4\baseline_time_n64_3,final_experiment_results\BatchSize8_4\baseline_time_n64_3\baseline_time_3_summary.json,300481.940648,300.481940648,777,2.585845919140338,20.686767353122704,,,,,,,,,,,,,300481.940648,2.585845919140338,20.686767353122704,0.0,0.0
8,e2e_energy,E2E energy,1,final_experiment_results\BatchSize8_4\e2e_energy_n64_1,final_experiment_results\BatchSize8_4\e2e_energy_n64_1\e2e_energy_1_summary.json,304070.433751,304.070433751,776,2.552040296806555,20.41632237445244,,,,,,,,,,,0.0490447949058947,0.00019310676975116043,300447.951257,2.582810089912105,20.66248071929684,1.2056938577362317,-1.1913300643252893
8,e2e_energy,E2E energy,2,final_experiment_results\BatchSize8_4\e2e_energy_n64_2,final_experiment_results\BatchSize8_4\e2e_energy_n64_2\e2e_energy_2_summary.json,303937.459387,303.937459387,776,2.5531568289248887,20.42525463139911,,,,,,,,,,,0.049039436573149,0.00019308567209279,300502.087414,2.5823447906067596,20.658758324854077,1.143210685344461,-1.1302890995827377
8,e2e_energy,E2E energy,3,final_experiment_results\BatchSize8_4\e2e_energy_n64_3,final_experiment_results\BatchSize8_4\e2e_energy_n64_3\e2e_energy_3_summary.json,304680.165235,304.680165235,776,2.5469331073831825,20.37546485906546,,,,,,,,,,,0.0491464396739897,0.00019350698128974632,300481.940648,2.585845919140338,20.686767353122704,1.3971636957437152,-1.5048387635598983
8,fine_grain,Fine-grained,1,final_experiment_results\BatchSize8_4\fine_grain_n64_1,final_experiment_results\BatchSize8_4\fine_grain_n64_1\fine_grain_1_summary.json,302430.560173,302.430560173,776,2.5658782616283986,20.52702609302719,389.20566105798974,2.7001071837838873,123.87770343298969,2.2746864759629566,207.50029529381445,1.0103877361440405,56.700755708762884,0.294423101205157,10.664408683776855,10.811961090441832,,,300447.951257,2.582810089912105,20.66248071929684,0.6598843186333112,-0.6555583916075975
8,fine_grain,Fine-grained,2,final_experiment_results\BatchSize8_4\fine_grain_n64_2,final_experiment_results\BatchSize8_4\fine_grain_n64_2\fine_grain_2_summary.json,302785.26407,302.78526407,776,2.562872411850925,20.5029792948074,389.64994807731955,2.54016878829552,124.06208465979381,2.2626246695837153,207.70130921520618,0.7163704549514124,56.72332054123711,0.2969899722594941,10.6797456741333,10.817236939656366,,,300502.087414,2.5823447906067596,20.658758324854077,0.7597872865536696,-0.7540580493613833
8,fine_grain,Fine-grained,3,final_experiment_results\BatchSize8_4\fine_grain_n64_3,final_experiment_results\BatchSize8_4\fine_grain_n64_3\fine_grain_3_summary.json,302487.009322,302.487009322,776,2.5653994257120027,20.523195405696022,389.24598756701033,2.9374984839135188,123.9619291378866,2.479599649234139,207.37537882216495,0.918050446873726,56.73862968427836,0.29867820384708926,10.649444580078125,10.80790619997634,,,300481.940648,2.585845919140338,20.686767353122704,0.667284253315203,-0.7907081112989394
16,baseline_time,Baseline timing,1,final_experiment_results\BatchSize16_4\baseline_time_n64_1,final_experiment_results\BatchSize16_4\baseline_time_n64_1\baseline_time_1_summary.json,300566.045998,300.566045998,412,1.3707469805246781,21.93195168839485,,,,,,,,,,,,,300566.045998,1.3707469805246781,21.93195168839485,0.0,0.0
16,baseline_time,Baseline timing,2,final_experiment_results\BatchSize16_4\baseline_time_n64_2,final_experiment_results\BatchSize16_4\baseline_time_n64_2\baseline_time_2_summary.json,300930.066366,300.930066366,403,1.3391815741995667,21.426905187193068,,,,,,,,,,,,,300930.066366,1.3391815741995667,21.426905187193068,0.0,0.0
16,baseline_time,Baseline timing,3,final_experiment_results\BatchSize16_4\baseline_time_n64_3,final_experiment_results\BatchSize16_4\baseline_time_n64_3\baseline_time_3_summary.json,300687.696941,300.687696941,412,1.3701924095711882,21.92307855313901,,,,,,,,,,,,,300687.696941,1.3701924095711882,21.92307855313901,0.0,0.0
16,e2e_energy,E2E energy,1,final_experiment_results\BatchSize16_4\e2e_energy_n64_1,final_experiment_results\BatchSize16_4\e2e_energy_n64_1\e2e_energy_1_summary.json,303050.338661,303.050338661,412,1.3595101124796098,21.752161799673758,,,,,,,,,,,0.0494279500801505,0.00019461538770248316,300566.045998,1.3707469805246781,21.93195168839485,0.8265380258608888,-0.8197623780843332
16,e2e_energy,E2E energy,2,final_experiment_results\BatchSize16_4\e2e_energy_n64_2,final_experiment_results\BatchSize16_4\e2e_energy_n64_2\e2e_energy_2_summary.json,303442.021226,303.442021226,412,1.3577552586006119,21.72408413760979,,,,,,,,,,,0.0494990904629208,0.00019489549264617776,300930.066366,1.3391815741995667,21.426905187193068,0.834730437650881,1.3869429477587214
16,e2e_energy,E2E energy,3,final_experiment_results\BatchSize16_4\e2e_energy_n64_3,final_experiment_results\BatchSize16_4\e2e_energy_n64_3\e2e_energy_3_summary.json,303440.913812,303.440913812,412,1.3577602137569982,21.72416342011197,,,,,,,,,,,0.049482731708907,0.00019483108242383264,300687.696941,1.3701924095711882,21.92307855313901,0.9156400142105712,-0.907332118273865
16,fine_grain,Fine-grained,1,final_experiment_results\BatchSize16_4\fine_grain_n64_1,final_experiment_results\BatchSize16_4\fine_grain_n64_1\fine_grain_1_summary.json,300806.88117,300.80688117,412,1.369649518646349,21.914392298341586,729.5513184126214,4.604975061251875,249.14639944660192,3.194991373575106,422.5568221116505,3.0294928484232244,56.6068866723301,0.43147719505391935,10.791668891906738,10.910867994271436,,,300566.045998,1.3707469805246781,21.93195168839485,0.08012720505415785,-0.0800630527676938
16,fine_grain,Fine-grained,2,final_experiment_results\BatchSize16_4\fine_grain_n64_2,final_experiment_results\BatchSize16_4\fine_grain_n64_2\fine_grain_2_summary.json,300438.662481,300.438662481,412,1.3713281659482,21.9412506551712,728.6576936116505,4.413807970401125,248.7255308907767,2.471761890608093,422.23805838592233,3.1840597126515995,56.499647327669905,0.3592026444073632,10.785798072814941,10.907075819459934,,,300930.066366,1.3391815741995667,21.426905187193068,-0.1632950442387229,2.4004655057957573
16,fine_grain,Fine-grained,3,final_experiment_results\BatchSize16_4\fine_grain_n64_3,final_experiment_results\BatchSize16_4\fine_grain_n64_3\fine_grain_3_summary.json,300295.65687,300.29565687,412,1.3719812144281445,21.95169943085031,728.3057419757282,5.480987879111695,248.79563257524273,3.7538696717990225,421.7456691237864,3.362312049853786,56.54828309223301,0.39081713194930634,10.779134750366211,10.90640325453675,,,300687.696941,1.3701924095711882,21.92307855313901,-0.13038114794464659,0.13055136230948294
